"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2022","165.00","168.00","168.00","160.25","1.41M","-1.79%"
"11/02/2022","168.00","174.75","176.50","166.00","2.44M","-2.33%"
"11/01/2022","172.00","150.25","174.50","150.25","2.99M","13.91%"
"10/31/2022","151.00","149.00","156.75","145.00","2.45M","-4.73%"
"10/28/2022","158.50","167.00","169.25","158.00","873.45K","-4.52%"
"10/27/2022","166.00","169.75","169.75","163.50","912.88K","2.15%"
"10/26/2022","162.50","150.00","162.50","148.75","998.28K","10.54%"
"10/25/2022","147.00","150.00","154.75","146.25","1.97M","-1.34%"
"10/21/2022","149.00","148.00","153.50","147.00","631.46K","0.68%"
"10/20/2022","148.00","153.75","155.00","145.00","974.64K","-4.05%"
"10/19/2022","154.25","155.00","159.75","153.00","257.31K","-1.28%"
"10/18/2022","156.25","160.00","160.00","150.50","645.18K","-2.80%"
"10/17/2022","160.75","165.75","166.75","158.00","758.20K","-3.74%"
"10/14/2022","167.00","168.00","170.00","161.00","1.40M","-0.45%"
"10/13/2022","167.75","164.75","169.50","159.00","1.52M","3.55%"
"10/12/2022","162.00","140.00","164.50","135.00","2.60M","13.29%"
"10/11/2022","143.00","165.00","166.00","142.00","3.58M","-13.33%"
"10/07/2022","165.00","165.00","172.00","154.00","1.69M","0.30%"
"10/06/2022","164.50","179.50","179.50","163.50","1.21M","-7.97%"
"10/05/2022","178.75","178.00","187.00","170.00","1.06M","-0.69%"
"10/04/2022","180.00","185.00","189.75","171.00","2.50M","-5.39%"
"10/03/2022","190.25","217.50","217.50","190.00","2.51M","-12.33%"
"09/30/2022","217.00","219.50","220.00","215.00","800.78K","-1.25%"
"09/29/2022","219.75","224.00","224.00","218.00","797.84K","-2.22%"
"09/28/2022","224.75","224.00","226.50","221.00","890.14K","-0.11%"
"09/27/2022","225.00","225.00","226.00","223.00","1.65M","0.00%"
"09/26/2022","225.00","221.00","225.00","220.25","1.55M","1.35%"
"09/23/2022","222.00","224.00","224.00","220.00","1.08M","-0.89%"
"09/22/2022","224.00","227.00","227.00","222.00","912.65K","-1.43%"
"09/21/2022","227.25","225.50","228.00","224.75","1.21M","0.33%"
"09/20/2022","226.50","225.00","229.75","221.00","2.15M","0.67%"
"09/19/2022","225.00","226.00","226.00","221.00","1.27M","-1.32%"
"09/16/2022","228.00","227.00","228.00","225.50","1.21M","0.44%"
"09/15/2022","227.00","228.00","228.00","225.00","735.92K","0.11%"
"09/14/2022","226.75","225.00","230.00","225.00","668.70K","0.55%"
"09/13/2022","225.50","230.00","230.00","224.75","1.23M","-1.10%"
"09/12/2022","228.00","239.00","239.00","228.00","1.58M","-3.39%"
"09/09/2022","236.00","235.00","243.00","235.00","2.04M","2.16%"
"09/08/2022","231.00","221.25","232.25","221.00","1.85M","4.52%"
"09/07/2022","221.00","218.00","222.00","216.50","1.10M","1.84%"
"09/06/2022","217.00","221.00","223.00","213.00","1.68M","-2.25%"
"09/05/2022","222.00","220.25","224.25","220.00","1.28M","1.02%"
"09/02/2022","219.75","223.00","224.75","218.50","1.31M","-0.45%"
"09/01/2022","220.75","220.00","225.00","219.00","1.15M","0.80%"
"08/31/2022","219.00","218.25","221.00","215.00","914.63K","1.86%"
"08/30/2022","215.00","214.00","220.00","210.50","709.74K","1.42%"
"08/29/2022","212.00","215.00","218.75","210.50","1.14M","-1.40%"
"08/26/2022","215.00","222.00","222.00","210.25","1.66M","2.38%"
"08/25/2022","210.00","218.75","222.00","209.00","1.15M","-4.55%"
"08/24/2022","220.00","225.50","227.25","219.00","1.24M","-3.19%"
"08/23/2022","227.25","233.50","236.00","226.50","1.65M","-1.84%"
"08/22/2022","231.50","230.00","235.00","226.50","2.59M","3.46%"
"08/19/2022","223.75","215.00","224.25","206.50","2.24M","6.04%"
"08/18/2022","211.00","217.00","217.00","207.50","1.48M","-0.94%"
"08/17/2022","213.00","219.00","219.75","209.25","1.93M","-2.85%"
"08/16/2022","219.25","225.00","225.00","210.50","3.04M","-1.24%"
"08/15/2022","222.00","235.00","237.25","221.50","2.19M","-2.20%"
"08/12/2022","227.00","228.75","233.75","225.00","3.32M","0.89%"
"08/10/2022","225.00","205.00","225.50","203.75","6.27M","15.53%"
"08/09/2022","194.75","203.50","203.75","193.25","2.28M","-4.06%"
"08/08/2022","203.00","210.00","210.00","201.50","1.57M","-1.46%"
"08/05/2022","206.00","212.00","212.00","201.00","2.85M","-1.67%"
"08/04/2022","209.50","206.00","215.50","206.00","4.54M","4.88%"
"08/03/2022","199.75","180.00","200.00","176.00","3.17M","13.66%"
"08/02/2022","175.75","168.50","178.00","167.50","1.07M","5.87%"
"08/01/2022","166.00","172.00","174.00","166.00","1.69M","-5.14%"
"07/29/2022","175.00","176.00","178.75","174.00","839.72K","0.14%"
"07/28/2022","174.75","170.00","175.50","167.25","655.85K","3.56%"
"07/27/2022","168.75","170.00","170.00","167.25","430.04K","-0.74%"
"07/26/2022","170.00","172.25","175.50","169.50","571.96K","-1.88%"
"07/25/2022","173.25","179.00","179.00","171.25","256.39K","-2.12%"
"07/22/2022","177.00","178.00","180.00","176.25","265.53K","-1.53%"
"07/21/2022","179.75","183.00","185.00","177.25","654.24K","-0.42%"
"07/20/2022","180.50","180.50","183.00","180.00","628.46K","0.98%"
"07/19/2022","178.75","179.25","181.00","178.00","766.45K","0.70%"
